Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Parkett no. 64,"Olafur Eliasson, Tom Friedman, Rodney Graham, Nic Hess, Amy Sillman, Various Artists","25982, 7487, 25983, 30109, 28808, 24409","(Danish and Icelandic, born 1967) (American, born 1965) (Canadian, 1949–2022) (Swiss, born 1968) (American, born 1955)",(Icelandic) (American) (Canadian) (Swiss) (American) (),(1967) (1965) (1949) (1968) (1955) (0),(0) (0) (2022) (0) (0) (0),(Male) (Male) (Male) () (Female) (),2002,Journal with three special edition projects,"Page: 10 1/16 x 8 1/16"" (25.5 x 20.4 cm)",Gift of Parkett,373.2002,Periodical,Drawings & Prints,2002-11-20,Y,86768,http://www.moma.org/collection/works/86768,http://www.moma.org/media/W1siZiIsIjQyOTMyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f69ef25308f4ac1a,,,,25.5,,,20.4,,
Eye Eye (for Parkett no. 64),Olafur Eliasson,25982,"(Danish and Icelandic, born 1967)",(Icelandic),(1967),(0),(Male),2002,"Multiple of iris shutter, mirror, and wood","overall: 10 11/16 × 8 11/16 × 10 1/16"" (27.1 × 22 × 25.5 cm)",Linda Barth Goldstein Fund,21.2003,Multiple,Drawings & Prints,2003-03-11,Y,87835,http://www.moma.org/collection/works/87835,http://www.moma.org/media/W1siZiIsIjQ0MjcxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c5ea7840a56f9adf,,25.5,,27.1,,,22.0,,
Untitled,"Olafur Eliasson, Elias Hjörleifsson","25982, 35850","(Danish and Icelandic, born 1967) (Icelandic, 1945–2001)",(Icelandic) (Icelandic),(1967) (1945),(0) (2001),(Male) (),(1998),Ink on paper,"27 3/4 x 26"" (70.5 x 66 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1627.2005.1,Drawing,Drawings & Prints,2005-05-10,N,95897,,,,,,70.4851409703,,,66.0401320803,,
Untitled,"Olafur Eliasson, Elias Hjörleifsson","25982, 35850","(Danish and Icelandic, born 1967) (Icelandic, 1945–2001)",(Icelandic) (Icelandic),(1967) (1945),(0) (2001),(Male) (),(1998),Ink on paper,"27 3/4 x 26"" (70.5 x 66 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1627.2005.1,Drawing,Drawings & Prints,2005-05-10,N,95897,,,,,,70.4851409703,,,66.0401320803,,
Untitled,"Olafur Eliasson, Elias Hjörleifsson","25982, 35850","(Danish and Icelandic, born 1967) (Icelandic, 1945–2001)",(Icelandic) (Icelandic),(1967) (1945),(0) (2001),(Male) (),(1998),Ink on paper,"27 3/4 x 26"" (70.5 x 66 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1627.2005.2,Drawing,Drawings & Prints,2005-05-10,Y,95898,http://www.moma.org/collection/works/95898,http://www.moma.org/media/W1siZiIsIjEzMDUwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=477738f80080db9d,,,,70.4851409703,,,66.0401320803,,
Untitled,"Olafur Eliasson, Elias Hjörleifsson","25982, 35850","(Danish and Icelandic, born 1967) (Icelandic, 1945–2001)",(Icelandic) (Icelandic),(1967) (1945),(0) (2001),(Male) (),(1998),Ink on paper,"27 3/4 x 26"" (70.5 x 66 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1627.2005.2,Drawing,Drawings & Prints,2005-05-10,Y,95898,http://www.moma.org/collection/works/95898,http://www.moma.org/media/W1siZiIsIjEzMDUwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=477738f80080db9d,,,,70.4851409703,,,66.0401320803,,
Untitled,"Olafur Eliasson, Elias Hjörleifsson","25982, 35850","(Danish and Icelandic, born 1967) (Icelandic, 1945–2001)",(Icelandic) (Icelandic),(1967) (1945),(0) (2001),(Male) (),(1998),Ink on paper,"27 3/4 x 26"" (70.5 x 66 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1627.2005.3,Drawing,Drawings & Prints,2005-05-10,N,95899,,,,,,70.4851409703,,,66.0401320803,,
Untitled,"Olafur Eliasson, Elias Hjörleifsson","25982, 35850","(Danish and Icelandic, born 1967) (Icelandic, 1945–2001)",(Icelandic) (Icelandic),(1967) (1945),(0) (2001),(Male) (),(1998),Ink on paper,"27 3/4 x 26"" (70.5 x 66 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1627.2005.3,Drawing,Drawings & Prints,2005-05-10,N,95899,,,,,,70.4851409703,,,66.0401320803,,
Untitled,"Olafur Eliasson, Elias Hjörleifsson","25982, 35850","(Danish and Icelandic, born 1967) (Icelandic, 1945–2001)",(Icelandic) (Icelandic),(1967) (1945),(0) (2001),(Male) (),(1998),Ink on paper,"27 3/4 x 26"" (70.5 x 66 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1627.2005.4,Drawing,Drawings & Prints,2005-05-10,N,95900,,,,,,70.4851409703,,,66.0401320803,,
Untitled,"Olafur Eliasson, Elias Hjörleifsson","25982, 35850","(Danish and Icelandic, born 1967) (Icelandic, 1945–2001)",(Icelandic) (Icelandic),(1967) (1945),(0) (2001),(Male) (),(1998),Ink on paper,"27 3/4 x 26"" (70.5 x 66 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1627.2005.4,Drawing,Drawings & Prints,2005-05-10,N,95900,,,,,,70.4851409703,,,66.0401320803,,
